Variables: 56, expected states 16777216
Computed state count: 547187354725515260
Start backward reachability: (states=1, size=63)
 >> (progress=51.70%%, states=2, size=62)
 >> (progress=52.53%%, states=4, size=61)
 >> (progress=53.37%%, states=8, size=60)
 >> (progress=54.20%%, states=16, size=59)
 >> (progress=55.03%%, states=32, size=58)
 >> (progress=55.87%%, states=64, size=57)
 >> (progress=56.70%%, states=128, size=56)
 >> (progress=57.54%%, states=256, size=55)
 >> (progress=58.86%%, states=768, size=55)
 >> (progress=59.69%%, states=1536, size=54)
 >> (progress=60.31%%, states=2560, size=57)
 >> (progress=60.53%%, states=3072, size=55)
 >> (progress=61.36%%, states=6144, size=54)
 >> (progress=62.19%%, states=12288, size=53)
 >> (progress=63.03%%, states=24576, size=52)
 >> (progress=63.51%%, states=36864, size=53)
 >> (progress=63.86%%, states=49152, size=51)
 >> (progress=64.35%%, states=73728, size=54)
 >> (progress=64.84%%, states=110592, size=58)
 >> (progress=65.02%%, states=129024, size=60)
 >> (progress=65.86%%, states=258048, size=59)
 >> (progress=66.40%%, states=405504, size=75)
 >> (progress=66.54%%, states=454656, size=74)
 >> (progress=66.62%%, states=487424, size=77)
 >> (progress=66.66%%, states=503808, size=71)
 >> (progress=66.92%%, states=626688, size=71)
 >> (progress=67.06%%, states=700416, size=59)
 >> (progress=67.76%%, states=1253376, size=68)
 >> (progress=67.77%%, states=1265664, size=69)
 >> (progress=67.78%%, states=1277952, size=65)
 >> (progress=67.80%%, states=1302528, size=63)
 >> (progress=67.85%%, states=1351680, size=71)
 >> (progress=67.89%%, states=1400832, size=58)
 >> (progress=68.38%%, states=2101248, size=81)
 >> (progress=68.72%%, states=2801664, size=57)
 >> (progress=69.42%%, states=4980736, size=71)
 >> (progress=70.19%%, states=9469952, size=135)
 >> (progress=70.25%%, states=9961472, size=70)
 >> (progress=71.08%%, states=19922944, size=69)
 >> (progress=71.84%%, states=37355520, size=85)
 >> (progress=71.92%%, states=39845888, size=68)
 >> (progress=72.75%%, states=79691776, size=67)
 >> (progress=73.49%%, states=146800640, size=90)
 >> (progress=73.50%%, states=147849216, size=92)
 >> (progress=73.50%%, states=148897792, size=84)
 >> (progress=73.52%%, states=150994944, size=80)
 >> (progress=73.55%%, states=155189248, size=93)
 >> (progress=73.59%%, states=159383552, size=66)
 >> (progress=74.42%%, states=318767104, size=65)
 >> (progress=74.91%%, states=478150656, size=106)
 >> (progress=75.19%%, states=603979776, size=130)
 >> (progress=75.42%%, states=729808896, size=127)
 >> (progress=75.71%%, states=931135488, size=130)
 >> (progress=75.89%%, states=1082130432, size=115)
 >> (progress=76.63%%, states=2004877312, size=114)
 >> (progress=77.12%%, states=3007315968, size=117)
 >> (progress=77.42%%, states=3846176768, size=162)
 >> (progress=77.42%%, states=3851419648, size=168)
 >> (progress=77.42%%, states=3853516800, size=172)
 >> (progress=77.42%%, states=3855613952, size=170)
 >> (progress=77.42%%, states=3859808256, size=166)
 >> (progress=77.42%%, states=3873439744, size=150)
 >> (progress=77.43%%, states=3900702720, size=142)
 >> (progress=77.45%%, states=3955228672, size=166)
 >> (progress=77.47%%, states=4009754624, size=113)
 >> (progress=78.21%%, states=7415529472, size=136)
 >> (progress=78.21%%, states=7432306688, size=140)
 >> (progress=78.21%%, states=7440695296, size=144)
 >> (progress=78.21%%, states=7449083904, size=142)
 >> (progress=78.21%%, states=7465861120, size=138)
 >> (progress=78.22%%, states=7516192768, size=130)
 >> (progress=78.24%%, states=7616856064, size=126)
 >> (progress=78.27%%, states=7818182656, size=138)
 >> (progress=78.30%%, states=8019509248, size=112)
 >> (progress=78.99%%, states=14193524736, size=121)
 >> (progress=79.04%%, states=14831058944, size=124)
 >> (progress=79.49%%, states=21642608640, size=122)
 >> (progress=79.53%%, states=22280142848, size=148)
 >> (progress=79.56%%, states=22917677056, size=142)
 >> (progress=79.59%%, states=23420993536, size=158)
 >> (progress=79.61%%, states=23924310016, size=156)
 >> (progress=79.65%%, states=24729616384, size=156)
 >> (progress=79.68%%, states=25333596160, size=117)
 >> (progress=79.77%%, states=27179089920, size=148)
 >> (progress=79.81%%, states=28101836800, size=151)
 >> (progress=79.83%%, states=28563210240, size=140)
 >> (progress=79.88%%, states=29947330560, size=133)
 >> (progress=79.99%%, states=32715571200, size=114)
 >> (progress=80.30%%, states=42379247616, size=134)
 >> (progress=80.43%%, states=47211085824, size=137)
 >> (progress=80.49%%, states=49627004928, size=131)
 >> (progress=80.68%%, states=58082721792, size=131)
 >> (progress=80.89%%, states=68954357760, size=129)
 >> (progress=81.22%%, states=90697629696, size=122)
 >> (progress=82.05%%, states=181395259392, size=121)
 >> (progress=82.89%%, states=362790518784, size=120)
 >> (progress=83.72%%, states=725581037568, size=119)
 >> (progress=83.72%%, states=728131174400, size=128)
 >> (progress=84.56%%, states=1456262348800, size=127)
 >> (progress=84.62%%, states=1539947102208, size=162)
 >> (progress=84.68%%, states=1614345666560, size=294)
 >> (progress=84.68%%, states=1614974812160, size=333)
 >> (progress=84.68%%, states=1615289384960, size=365)
 >> (progress=84.68%%, states=1615685746688, size=415)
 >> (progress=84.68%%, states=1617010098176, size=427)
 >> (progress=84.68%%, states=1617672273920, size=381)
 >> (progress=84.69%%, states=1623553998848, size=220)
 >> (progress=84.69%%, states=1623579951104, size=209)
 >> (progress=84.69%%, states=1623581523968, size=179)
 >> (progress=84.69%%, states=1623631855616, size=157)
 >> (progress=84.78%%, states=1748521451520, size=151)
 >> (progress=84.87%%, states=1894651002880, size=161)
 >> (progress=84.89%%, states=1918910857216, size=217)
 >> (progress=84.90%%, states=1931040784384, size=223)
 >> (progress=84.90%%, states=1937105747968, size=211)
 >> (progress=84.91%%, states=1958333120512, size=213)
 >> (progress=84.93%%, states=1985625456640, size=209)
 >> (progress=84.96%%, states=2040210128896, size=181)
 >> (progress=84.96%%, states=2041418088448, size=222)
 >> (progress=84.96%%, states=2042022068224, size=237)
 >> (progress=84.97%%, states=2045645946880, size=256)
